lettuce,3.91
asparagus,7.21
chicken,3.47
cider vinegar,1.59
hot sauce,9.62
avocados,7.26
brandy,8.85
ketchup,3.89
artificial sweetener,5.34
barley,5.49
carrots,1.82
sauerkraut,6.96
hot sauce,3.04
wasabi,5.79
baking soda,1.58
scallops,8.42
artificial sweetener,5.96
ricotta cheese,1.80
won ton skins,8.95
chaurice sausage,0.99
mackerel,7.64
caviar,7.59
brazil nuts,5.26
snapper,9.10
haddock,4.81
canola oil,8.68
fennel,7.59
shrimp,3.66
chard,4.77
tarragon,6.94
bean sprouts,8.35
tomato paste,1.00
sage,8.39
prawns,5.37
ice cream,8.24
crabs,9.49
vanilla bean,7.93
rice paper,9.30
limes,9.79
berries,2.80
macaroni,8.59
water,2.89
hot sauce,9.32
beets,8.48
chicken liver,5.26
curry paste,1.98
nectarines,8.27
cremini mushrooms,1.18
tartar sauce,8.87
adobo,7.91
red beans,8.06
spaghetti squash,5.27
tofu,5.70
cilantro,7.91
potato chips,2.37
acorn squash,4.18
cranberries,5.18
plum tomatoes,5.87
olives,5.56
Havarti cheese,3.87
panko bread crumbs,4.75
radishes,9.92
bean sprouts,3.10
gouda,1.29
honey,1.08
orange peels,2.55
ginger ale,5.34
unsweetened chocolate,7.71
coconut oil,6.52
cream of tartar,8.80
vermouth,8.26
mozzarella,8.34
apple pie spice,5.36
arugula,5.29
date sugar,2.76
parsnips,8.71
truffles,4.96
cremini mushrooms,6.35
sweet chili sauce,6.63
mozzarella,3.40
brussels sprouts,5.81
pink beans,7.63
English muffins,8.26
leeks,6.11
marshmallows,2.64
moo shu wrappers,6.18
water,7.75
vanilla bean,6.04
five-spice powder,2.65
pasta,1.53
canola oil,9.30
habanero chilies,4.24
chickpeas,5.53
corn syrup,5.85
ale,2.43
celery,5.60
mustard,6.95
crayfish,8.34
rabbits,8.61
anchovies,1.90
